$submission->id, $submission->user->username, $submission->created_at, $start_judging_time,  $judge_run_time, $seconds_to_submit, $total_pending_time
12431, thi_cuoiky-O112-23520772-62GF3, 2024-01-11 00:59:21, 2024-01-11 00:59:21, 6803, 861, 0
12432, thi_cuoiky-O112-23520683-WOO88, 2024-01-11 00:59:22, 2024-01-11 00:59:22, 6891, 862, 0
12433, thi_cuoiky-O11-23520289-W6OLC, 2024-01-11 00:59:25, 2024-01-11 00:59:25, 1346, 865, 0
12434, thi_cuoiky-O112-23520677-OJ2LK, 2024-01-11 00:59:37, 2024-01-11 00:59:38, 6754, 877, 1
12435, thi_cuoiky-O11-23520307-YY4G2, 2024-01-11 00:59:38, 2024-01-11 00:59:38, 30841, 878, 0
12436, thi_cuoiky-O11-23520514-N8ZLH, 2024-01-11 00:59:41, 2024-01-11 00:59:41, 20715, 881, 0
12437, thi_cuoiky-O11-23520530-FPVPS, 2024-01-11 00:59:42, 2024-01-11 00:59:42, 20425, 882, 0
12438, thi_cuoiky-O110-23520557-MWXMV, 2024-01-11 00:59:42, 2024-01-11 00:59:43, 7159, 882, 1
12439, thi_cuoiky-O11-23520329-OEAU3, 2024-01-11 00:59:48, 2024-01-11 00:59:49, 9554, 888, 1
12440, thi_cuoiky-O110-23521262-BYG58, 2024-01-11 01:00:04, 2024-01-11 01:00:05, 6504, 904, 1
12441, thi_cuoiky-O11-22521602-170EV, 2024-01-11 01:00:07, 2024-01-11 01:00:07, 6400, 907, 0
12442, thi_cuoiky-O11-23520801-CIJJN, 2024-01-11 01:00:14, 2024-01-11 01:00:15, 6990, 914, 1
12443, thi_cuoiky-O11-23520845-IC7WD, 2024-01-11 01:00:16, 2024-01-11 01:00:16, 9783, 916, 0
12444, thi_cuoiky-O11-23520322-5S0NP, 2024-01-11 01:00:25, 2024-01-11 01:00:26, 10944, 925, 1
12445, thi_cuoiky-O110-23520153-CS68C, 2024-01-11 01:00:27, 2024-01-11 01:00:27, 8498, 927, 0
12446, thi_cuoiky-O11-23520368-5MFQV, 2024-01-11 01:00:27, 2024-01-11 01:00:28, 22899, 927, 1
12447, thi_cuoiky-O112-23521010-4I8IW, 2024-01-11 01:00:28, 2024-01-11 01:00:28, 20895, 928, 0
12448, thi_cuoiky-O11-23520514-N8ZLH, 2024-01-11 01:00:28, 2024-01-11 01:00:28, 22334, 928, 0
12449, thi_cuoiky-O11-23520055-KBMND, 2024-01-11 01:00:28, 2024-01-11 01:00:29, 8988, 928, 1
12450, thi_cuoiky-O110-23520917-L8C72, 2024-01-11 01:00:36, 2024-01-11 01:00:36, 7837, 936, 0
12451, thi_cuoiky-O11-23520744-EVXEC, 2024-01-11 01:00:41, 2024-01-11 01:00:41, 19042, 941, 0
12452, thi_cuoiky-O112-23520210-4KIRA, 2024-01-11 01:00:45, 2024-01-11 01:00:45, 9662, 945, 0
12453, thi_cuoiky-O11-23520513-15VRI, 2024-01-11 01:00:51, 2024-01-11 01:00:51, 19405, 951, 0
